[0226/221152.751:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/222041.045:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0226/222139.143:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0403/122719.521:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0403/123408.042:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0403/134655.819:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0403/142124.590:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0403/170933.029:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0403/170939.537:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0404/192417.124:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0406/215349.274:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0410/115121.847:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
